,providerOfferId,eventId,eventGroupId,label,isSuspended,isOpen,offerSubcategoryId,isSubcategoryFeatured,betOfferTypeId,providerCriterionId,outcomes,offerSequence,source,displayGroupId,main,tags
0,2_75111057,30518887,42133,Puck Line,False,True,4525,True,1,2_1254,"[{'providerOutcomeId': '0HC75111057P150_3', 'providerId': 2, 'providerOfferId': '2_75111057', 'label': 'VGK Golden Knights', 'oddsAmerican': '-192', 'oddsDecimal': 1.52083334, 'oddsDecimalDisplay': '1.52', 'oddsFractional': '25/48', 'line': 1.5, 'participant': 'VGK Golden Knights', 'participantType': 'Team', 'main': True, 'sortOrder': 1499, 'tags': ['MainPointLine', 'SGP'], 'participants': [{'id': '35792', 'name': 'VGK Golden Knights', 'type': 'Team'}]}, {'providerOutcomeId': '0HC75111057N150_1', 'providerId': 2, 'providerOfferId': '2_75111057', 'label': 'DAL Stars', 'oddsAmerican': '+160', 'oddsDecimal': 2.6, 'oddsDecimalDisplay': '2.60', 'oddsFractional': '8/5', 'line': -1.5, 'participant': 'DAL Stars', 'participantType': 'Team', 'main': True, 'sortOrder': 1501, 'tags': ['MainPointLine', 'SGP'], 'participants': [{'id': '35724', 'name': 'DAL Stars', 'type': 'Team'}]}]",0,5,8,True,"['PrimaryMarket', 'SGP', 'YourBetEligible', 'Cashout', 'FeaturedSubcategory']"
1,3_75111057,30518887,42133,Total,False,True,4525,True,6,3_1254,"[{'providerOutcomeId': '0OU75111057O550_1', 'providerId': 2, 'providerOfferId': '3_75111057', 'label': 'Over', 'oddsAmerican': '-125', 'oddsDecimal': 1.8, 'oddsDecimalDisplay': '1.80', 'oddsFractional': '4/5', 'line': 5.5, 'participant': '', 'participantType': 'Unknown', 'main': True, 'sortOrder': 5500, 'tags': ['MainPointLine', 'SGP']}, {'providerOutcomeId': '0OU75111057U550_3', 'providerId': 2, 'providerOfferId': '3_75111057', 'label': 'Under', 'oddsAmerican': '+105', 'oddsDecimal': 2.05, 'oddsDecimalDisplay': '2.05', 'oddsFractional': '21/20', 'line': 5.5, 'participant': '', 'participantType': 'Unknown', 'main': True, 'sortOrder': 5502, 'tags': ['MainPointLine', 'SGP']}]",0,5,8,True,"['PrimaryMarket', 'SGP', 'YourBetEligible', 'Cashout', 'FeaturedSubcategory']"
2,1_75111057,30518887,42133,Moneyline,False,True,4525,True,2,1_1254,"[{'providerOutcomeId': '0ML75111057_3', 'providerId': 2, 'providerOfferId': '1_75111057', 'label': 'VGK Golden Knights', 'oddsAmerican': '+130', 'oddsDecimal': 2.3, 'oddsDecimalDisplay': '2.30', 'oddsFractional': '13/10', 'participant': 'VGK Golden Knights', 'participantType': 'Team', 'main': True, 'sortOrder': 1188136819, 'tags': ['SGP'], 'participants': [{'id': '35792', 'name': 'VGK Golden Knights', 'type': 'Team'}]}, {'providerOutcomeId': '0ML75111057_1', 'providerId': 2, 'providerOfferId': '1_75111057', 'label': 'DAL Stars', 'oddsAmerican': '-155', 'oddsDecimal': 1.6451613, 'oddsDecimalDisplay': '1.64', 'oddsFractional': '20/31', 'participant': 'DAL Stars', 'participantType': 'Team', 'main': True, 'sortOrder': 1188138817, 'tags': ['SGP'], 'participants': [{'id': '35724', 'name': 'DAL Stars', 'type': 'Team'}]}]",0,5,8,True,"['PrimaryMarket', 'SGP', 'YourBetEligible', 'Cashout', 'FeaturedSubcategory']"
3,2_75100161,30514281,42133,Puck Line,False,True,4525,True,1,2_1254,"[{'providerOutcomeId': '0HC75100161P150_3', 'providerId': 2, 'providerOfferId': '2_75100161', 'label': 'LA Kings', 'oddsAmerican': '-148', 'oddsDecimal': 1.67567568, 'oddsDecimalDisplay': '1.67', 'oddsFractional': '25/37', 'line': 1.5, 'participant': 'LA Kings', 'participantType': 'Team', 'main': True, 'sortOrder': 1499, 'tags': ['MainPointLine', 'SGP'], 'participants': [{'id': '35736', 'name': 'LA Kings', 'type': 'Team'}]}, {'providerOutcomeId': '0HC75100161N150_1', 'providerId': 2, 'providerOfferId': '2_75100161', 'label': 'EDM Oilers', 'oddsAmerican': '+124', 'oddsDecimal': 2.24, 'oddsDecimalDisplay': '2.24', 'oddsFractional': '31/25', 'line': -1.5, 'participant': 'EDM Oilers', 'participantType': 'Team', 'main': True, 'sortOrder': 1501, 'tags': ['MainPointLine', 'SGP'], 'participants': [{'id': '35730', 'name': 'EDM Oilers', 'type': 'Team'}]}]",0,5,8,True,"['PrimaryMarket', 'SGP', 'YourBetEligible', 'Cashout', 'FeaturedSubcategory']"
4,3_75100161,30514281,42133,Total,False,True,4525,True,6,3_1254,"[{'providerOutcomeId': '0OU75100161O650_1', 'providerId': 2, 'providerOfferId': '3_75100161', 'label': 'Over', 'oddsAmerican': '+110', 'oddsDecimal': 2.1, 'oddsDecimalDisplay': '2.10', 'oddsFractional': '11/10', 'line': 6.5, 'participant': '', 'participantType': 'Unknown', 'main': True, 'sortOrder': 6500, 'tags': ['MainPointLine', 'SGP']}, {'providerOutcomeId': '0OU75100161U650_3', 'providerId': 2, 'providerOfferId': '3_75100161', 'label': 'Under', 'oddsAmerican': '-130', 'oddsDecimal': 1.76923077, 'oddsDecimalDisplay': '1.76', 'oddsFractional': '10/13', 'line': 6.5, 'participant': '', 'participantType': 'Unknown', 'main': True, 'sortOrder': 6502, 'tags': ['MainPointLine', 'SGP']}]",0,5,8,True,"['PrimaryMarket', 'SGP', 'YourBetEligible', 'Cashout', 'FeaturedSubcategory']"
5,1_75100161,30514281,42133,Moneyline,False,True,4525,True,2,1_1254,"[{'providerOutcomeId': '0ML75100161_3', 'providerId': 2, 'providerOfferId': '1_75100161', 'label': 'LA Kings', 'oddsAmerican': '+164', 'oddsDecimal': 2.64, 'oddsDecimalDisplay': '2.64', 'oddsFractional': '41/25', 'participant': 'LA Kings', 'participantType': 'Team', 'main': True, 'sortOrder': 1187899078, 'tags': ['SGP'], 'participants': [{'id': '35736', 'name': 'LA Kings', 'type': 'Team'}]}, {'providerOutcomeId': '0ML75100161_1', 'providerId': 2, 'providerOfferId': '1_75100161', 'label': 'EDM Oilers', 'oddsAmerican': '-198', 'oddsDecimal': 1.50505051, 'oddsDecimalDisplay': '1.50', 'oddsFractional': '50/99', 'participant': 'EDM Oilers', 'participantType': 'Team', 'main': True, 'sortOrder': 1187901076, 'tags': ['SGP'], 'participants': [{'id': '35730', 'name': 'EDM Oilers', 'type': 'Team'}]}]",0,5,8,True,"['PrimaryMarket', 'SGP', 'YourBetEligible', 'Cashout', 'FeaturedSubcategory']"
6,2_75123751,30523422,42133,Puck Line,False,True,4525,True,1,2_1254,"[{'providerOutcomeId': '0HC75123751P150_3', 'providerId': 2, 'providerOfferId': '2_75123751', 'label': 'BOS Bruins', 'oddsAmerican': '-278', 'oddsDecimal': 1.35971224, 'oddsDecimalDisplay': '1.35', 'oddsFractional': '50/139', 'line': 1.5, 'participant': 'BOS Bruins', 'participantType': 'Team', 'main': True, 'sortOrder': 1499, 'tags': ['MainPointLine', 'SGP'], 'participants': [{'id': '35701', 'name': 'BOS Bruins', 'type': 'Team'}]}, {'providerOutcomeId': '0HC75123751N150_1', 'providerId': 2, 'providerOfferId': '2_75123751', 'label': 'TOR Maple Leafs', 'oddsAmerican': '+225', 'oddsDecimal': 3.25, 'oddsDecimalDisplay': '3.25', 'oddsFractional': '9/4', 'line': -1.5, 'participant': 'TOR Maple Leafs', 'participantType': 'Team', 'main': True, 'sortOrder': 1501, 'tags': ['MainPointLine', 'SGP'], 'participants': [{'id': '35786', 'name': 'TOR Maple Leafs', 'type': 'Team'}]}]",0,5,8,True,"['PrimaryMarket', 'SGP', 'YourBetEligible', 'Cashout', 'FeaturedSubcategory']"
7,3_75123751,30523422,42133,Total,False,True,4525,True,6,3_1254,"[{'providerOutcomeId': '0OU75123751O550_1', 'providerId': 2, 'providerOfferId': '3_75123751', 'label': 'Over', 'oddsAmerican': '-118', 'oddsDecimal': 1.84745763, 'oddsDecimalDisplay': '1.84', 'oddsFractional': '50/59', 'line': 5.5, 'participant': '', 'participantType': 'Unknown', 'main': True, 'sortOrder': 5500, 'tags': ['MainPointLine', 'SGP']}, {'providerOutcomeId': '0OU75123751U550_3', 'providerId': 2, 'providerOfferId': '3_75123751', 'label': 'Under', 'oddsAmerican': '-102', 'oddsDecimal': 1.98039216, 'oddsDecimalDisplay': '1.98', 'oddsFractional': '50/51', 'line': 5.5, 'participant': '', 'participantType': 'Unknown', 'main': True, 'sortOrder': 5502, 'tags': ['MainPointLine', 'SGP']}]",0,5,8,True,"['PrimaryMarket', 'SGP', 'YourBetEligible', 'Cashout', 'FeaturedSubcategory']"
8,1_75123751,30523422,42133,Moneyline,False,True,4525,True,2,1_1254,"[{'providerOutcomeId': '0ML75123751_3', 'providerId': 2, 'providerOfferId': '1_75123751', 'label': 'BOS Bruins', 'oddsAmerican': '-105', 'oddsDecimal': 1.95238096, 'oddsDecimalDisplay': '1.95', 'oddsFractional': '20/21', 'participant': 'BOS Bruins', 'participantType': 'Team', 'main': True, 'sortOrder': 1188388462, 'tags': ['SGP'], 'participants': [{'id': '35701', 'name': 'BOS Bruins', 'type': 'Team'}]}, {'providerOutcomeId': '0ML75123751_1', 'providerId': 2, 'providerOfferId': '1_75123751', 'label': 'TOR Maple Leafs', 'oddsAmerican': '-115', 'oddsDecimal': 1.86956522, 'oddsDecimalDisplay': '1.86', 'oddsFractional': '20/23', 'participant': 'TOR Maple Leafs', 'participantType': 'Team', 'main': True, 'sortOrder': 1188390460, 'tags': ['SGP'], 'participants': [{'id': '35786', 'name': 'TOR Maple Leafs', 'type': 'Team'}]}]",0,5,8,True,"['PrimaryMarket', 'SGP', 'YourBetEligible', 'Cashout', 'FeaturedSubcategory']"
9,2_75123757,30523426,42133,Puck Line,False,True,4525,True,1,2_1254,"[{'providerOutcomeId': '0HC75123757P150_3', 'providerId': 2, 'providerOfferId': '2_75123757', 'label': 'VAN Canucks', 'oddsAmerican': '-230', 'oddsDecimal': 1.43478261, 'oddsDecimalDisplay': '1.43', 'oddsFractional': '10/23', 'line': 1.5, 'participant': 'VAN Canucks', 'participantType': 'Team', 'main': True, 'sortOrder': 1499, 'tags': ['MainPointLine', 'SGP'], 'participants': [{'id': '35789', 'name': 'VAN Canucks', 'type': 'Team'}]}, {'providerOutcomeId': '0HC75123757N150_1', 'providerId': 2, 'providerOfferId': '2_75123757', 'label': 'NSH Predators', 'oddsAmerican': '+190', 'oddsDecimal': 2.9, 'oddsDecimalDisplay': '2.90', 'oddsFractional': '19/10', 'line': -1.5, 'participant': 'NSH Predators', 'participantType': 'Team', 'main': True, 'sortOrder': 1501, 'tags': ['MainPointLine', 'SGP'], 'participants': [{'id': '35745', 'name': 'NSH Predators', 'type': 'Team'}]}]",0,5,8,True,"['PrimaryMarket', 'SGP', 'YourBetEligible', 'Cashout', 'FeaturedSubcategory']"
