,providerOutcomeId,providerId,providerOfferId,label,oddsAmerican,oddsDecimal,oddsDecimalDisplay,oddsFractional,line,participant,participantType,main,sortOrder,tags,participants
0,0HC75111057P150_3,2,2_75111057,VGK Golden Knights,-192,1.52083334,1.52,25/48,1.5,VGK Golden Knights,Team,True,1499,"['MainPointLine', 'SGP']","[{'id': '35792', 'name': 'VGK Golden Knights', 'type': 'Team'}]"
1,0HC75111057N150_1,2,2_75111057,DAL Stars,+160,2.6,2.60,8/5,-1.5,DAL Stars,Team,True,1501,"['MainPointLine', 'SGP']","[{'id': '35724', 'name': 'DAL Stars', 'type': 'Team'}]"
2,0OU75111057O550_1,2,3_75111057,Over,-125,1.8,1.80,4/5,5.5,,Unknown,True,5500,"['MainPointLine', 'SGP']",
3,0OU75111057U550_3,2,3_75111057,Under,+105,2.05,2.05,21/20,5.5,,Unknown,True,5502,"['MainPointLine', 'SGP']",
4,0ML75111057_3,2,1_75111057,VGK Golden Knights,+130,2.3,2.30,13/10,,VGK Golden Knights,Team,True,1188136819,['SGP'],"[{'id': '35792', 'name': 'VGK Golden Knights', 'type': 'Team'}]"
5,0ML75111057_1,2,1_75111057,DAL Stars,-155,1.6451613,1.64,20/31,,DAL Stars,Team,True,1188138817,['SGP'],"[{'id': '35724', 'name': 'DAL Stars', 'type': 'Team'}]"
6,0HC75100161P150_3,2,2_75100161,LA Kings,-148,1.67567568,1.67,25/37,1.5,LA Kings,Team,True,1499,"['MainPointLine', 'SGP']","[{'id': '35736', 'name': 'LA Kings', 'type': 'Team'}]"
7,0HC75100161N150_1,2,2_75100161,EDM Oilers,+124,2.24,2.24,31/25,-1.5,EDM Oilers,Team,True,1501,"['MainPointLine', 'SGP']","[{'id': '35730', 'name': 'EDM Oilers', 'type': 'Team'}]"
8,0OU75100161O650_1,2,3_75100161,Over,+110,2.1,2.10,11/10,6.5,,Unknown,True,6500,"['MainPointLine', 'SGP']",
9,0OU75100161U650_3,2,3_75100161,Under,-130,1.76923077,1.76,10/13,6.5,,Unknown,True,6502,"['MainPointLine', 'SGP']",
10,0ML75100161_3,2,1_75100161,LA Kings,+164,2.64,2.64,41/25,,LA Kings,Team,True,1187899078,['SGP'],"[{'id': '35736', 'name': 'LA Kings', 'type': 'Team'}]"
11,0ML75100161_1,2,1_75100161,EDM Oilers,-198,1.50505051,1.50,50/99,,EDM Oilers,Team,True,1187901076,['SGP'],"[{'id': '35730', 'name': 'EDM Oilers', 'type': 'Team'}]"
